aeon	['i:ən]	eon, vek, dugo razdoblje
aerial	['ɛərɪəl]	vazdušni, antena (TV)
aerodrome	['ɛərədrəum]	aerodrom (manji)
aeroplane	['ɛərəpleɪn]	avion
afar	[ə'fɑ:(r)]	daljina
 


affable	['æfəbl]	ljubazan, prijatan
affair	[ə'fɛə(r)]	stvar, afera
affect	[ə'fəkt]	uzbuđenje, napasti, štetiti
affectation	[æfək'teɪʃən]	prenemaganje, glumljenje
affected	[ə'fəktɪd]	usiljen, oboleo
affecting	[əfektɪŋ]	dirljiv
affection	[ə'fəkʃən]	uzbuđenje, sklonost
affectionate	[ə'fəkʃənɪt]	ljubazan, srdačan
affinity	[ə'fɪnɪti]	sklonost, naklonost
affirm	[ə'fɜ:m]	posvedočiti, tvrditi
affirmation	[æfə'meɪʃən]	potvrda, tvrdnja
affirmative	[ə'fɜ:mətɪv]	potvrdan
affix	[ə'fɪks]	pričvrstiti, zalepiti
afflict	[ə'flɪkt]	mučiti, naneti bol
affluence	['æfluəns]	blagostanje
affluent	['æfluənt]	bogat
afflux	[æflʌks]	priliv
afford	[əfɔ:(r)d]	pružiti, priuštiti
afforest	[əfɜ:rəst]	pošumiti, zasaditi šumu
afforestation	[əfɔ:rɪsteɪʃən]	pošumljavanje
affront	[ə'frʌnt]	uvrediti
afire	[əfaɪr]	zapaljen, u plamenu
aflame	[əfleɪm]	zapaljen
afloat	[ə'fləut]	plutajući
afoot	[ə'fut]	pešice
aforementioned	[ə'fɔ:mənʃənd]	gore pomenut
afraid	[ə'freɪd]	uplasen
afresh	[ə'frəʃ]	iznova
after	['ɑ:ftə(r)]	posle
afternoon	['ɑ:ftə'nu:n]	poslepodne
afterwards	['ɑ:ftəwədz]	posle, kasnije
again	[ə'gən]	ponovo, opet
against	[ə'gənst]	protiv, uz
agape	[əgeɪp]	razjapljenih usta, zinuo
age	[eɪdʒ]	doba, starost
aged	[eɪdʒɪd]	jako ostareo, u godinama
agency	['eɪdʒənsi]	agencija
agenda	[ə'dʒəndə]	dnevni red
agent	['eɪdʒənt]	posrednik, agent
agglomerate	[əglɑ:mɜ:reɪt]	gomilati
agglomeration	[əglɑ:məreɪʃən]	gomilanje
aggrandize	[əgrændaɪz]	povećati, uveličati
 


aggravate	['ægrəveɪt]	otežati, pogoršati
aggravation	[ægrə'veɪʃən]	otežavanje, pogoršavanje
aggregate	['ægrɪgɪt]	skupiti, spojiti
aggress	[əgres]	napasti
aggression	[ə'grəʃən]	agresija, napad
aggressive	[ə'grəsɪv]	agresivan, nasrtljiv
aggressiveness	[ə'grəsɪvnɪs]	agresivnost, nasrtljivost
aggressor	[əgresə(r)]	napadač, zavojevač
aggrieve	[əgri:v]	rastužiti
aggrieved	[ə'gri:vd]	rastužen, ljut
aghast	[ə'gɑ:st]	prestravljen, zaprepašten
agile	['ædʒaɪl]	hitar, okretan
agility	[ədʒɪlɪti:]	okretnost, spretnost
agitate	['ædʒɪteɪt]	uzrujati, uzburkati
agitation	[ædʒɪteɪʃən]	podstrekavanje, zabrinutost, uzbuđenje
agitator	['ædʒɪteɪtə(r)]	podstrekač
aglow	[əgləƱ]	zažareno, uzrujano
agnail	[ægneɪl]	zanoktica
ago	[ə'gəu]	pre
agonize	['ægənaɪz]	mučiti, kinjiti
agonizing	['ægənaɪzɪŋ]	mučan, grozan
agony	['ægəni]	agonija, izdisanje, patnja
agrarian	[əgreri:ən]	zemljoradnik
agree	[ə'gri:]	složiti se
agreeable	[ə'gri:əbl]	prikladan, saglasan
agreement	[ə'gri:mənt]	sporazum, dogovor
agricultural	[ægrɪ'kʌltʃərəl]	zemljoradnički
agriculture	['ægrɪkʌltʃə(r)]	zemljoradnja, poljoprivreda
ahead	[ə'həd]	napred, pravo
aid	[eɪd]	pomagati, pomoć
ail	[eɪl]	mučiti, boleti
aim	[eɪm]	ciljati, smerati
aimless	['eɪmlɪs]	besciljan
aimlessly	['eɪmlɪsli]	besciljno
air	[ɛə(r)]	vazduh
airborne	['ɛəbɔ:n]	vazdušni, putem vazduha
air conditioner	[ɛə(r) kən'dɪʃənə(r)]	klima uređaj
aircraft	['ɛəkrɑ:ft]	avion
airfield	['ɛəfi:ld]	manji aerodrome, uzletište
airplane	'ɛəpleɪn]	avion
airport	['ɛəpɔ:t]	aerodrom
airy	['ɛəri]	provetren, svež, veseo
 


ajar	[ə'dʒɑ:(r)]	pritvoren, odškrinut
akimbo	[əkɪmbəƱ]	podbočenih ruku (stav)
akin	[ə'kɪn]	srodan, blizak
alacrity	[ə'lækrɪti]	živahnost, okretnost
alarm	[ə'lɑ:m]	uzbuniti, zabrinuti, uzbuna, alarm
alarming	[ə'lɑ:mɪŋ]	zabrinjavajući, uznemiren, zabrinut
alchemy	['ælkɪmi]	alhemija
alcohol	['ælkəhɔl]	alkohol
alcoholic	[ælkə'hɔlɪk]	alkoholni, alkoholičar, pijanica
alcove	['ælkəuv]	niša, udubljenje u zidu
ale	[eɪl]	pivo
alehouse	[eɪlhaƱs]	pivnica
alert	[ə'lɜ:t]	oprezan, veseo, čio
alga	[ælgə]	alga
algae	['ældʒi:]	alge
algebra	['ældʒɪbrə]	algebra (deo matematike)
algebraic	[ældʒəbreɪɪk]	algebarski
alias	['eɪlɪəs]	usvojeno ime, drugačije zvan
alibi	['ælɪbaɪ]	alibi (dokaz da nije bio tu)
alien	['eɪlɪən]	tuđinski, stranac
alienate	['eɪlɪəneɪt]	otuđiti, ukloniti
alienation	[eɪlɪə'neɪʃən]	otuđenje
alight	[ə'laɪt]	izaći iz vozila, sjahati, upaljen
align	[ə'laɪn]	poređati, svrstati u red
alike	[ə'laɪk]	nalik, sličan
alive	[ə'laɪv]	živ, živahan
all	[ɔ:l]	sve, sav
allay	[ə'leɪ]	ublažiti, smanjiti
allegation	[ælɪ'geɪʃən]	navod, isprika
allege	[ə'lədʒ]	navoditi, pozivati se na
alleged	[ə'lədʒd]	navodni, nepotvrđen
allegedly	[ə'lədʒɪdli]	navodno
allegoric	[æləgɔ:rɪk]	slikovit
allergic	[ə'lɜ:dʒɪk]	alergičan
allergy	['ælədʒi]	alergija
alleviate	[ə'li:vɪeɪt]	umanjiti, olakšati (patnju)
alleviation	[əli:vi:eɪʃən]	ublažavanje
alley	['æli]	uska uličica, prolaz
alliance	[ə'laɪəns]	savez, alijansa
allied	['ælaɪd]	saveznički, srodan
alligator	['ælɪgeɪtə(r)]	aligator
 


allocate	['æləkeɪt]	doznačiti, nameniti
allow	[ə'lau]	dopustiti, priznati
allowance	[ə'lauəns]	odobrenje, odobrena svota novca
alloy	['ælɔɪ]	legura, smesa
allure	[əlƱr]	mamiti, navoditi
alluring	[ə'ljuərɪŋ]	zavodljiv, privlačan
allusion	[ə'lu:ʒən]	nagoveštaj, aluzija
ally	[noun 'ælaɪ; verb ə'laɪ]	saveznik, ujediniti
almond	['ɑ:mənd]	badem
almost	['ɔ:lməust]	skoro, umalo
alms	[ɑ:mz]	milostinja
almshouse	[ɑ:mzhaƱs]	dom za siromašne
aloft	[ə'lɔft]	uzvišen, gore
alone	[ə'ləun]	sam, usamljen
along	[ə'lɔŋ]	duž, pored
alongside	[ə'lɔŋ'saɪd]	pored, uz, uz bok
aloof	[ə'lu:f]	po strain, uzdržan
aloud	[ə'laud]	glasno, naglas
alphabet	['ælfəbət]	azbuka
alphabetic	[ælfəbetɪk]	azbučni (redosled)
alpine	['ælpaɪn]	planinski, alpski
already	[ɔ:l'rədi]	već
also	['ɔ:lsəu]	takođe
altar	['ɔltə(r)]	oltar, žrtvenik
alter	['ɔltə(r)]	menjati
alteration	[ɔltə'reɪʃən]	menjanje, izmena
altercate	[ɔ:ltɜ:(r)keɪt]	prepirati se
altercation	[ɔ:ltɜ:(r)keɪʃən]	prepirka
alternate	[adj ɔl'tɜ:nɪt;verb 'ɔltɜ:neɪt]	izmeničan, menjati se
alternation	[ɔ:ltɜ:(r)neɪʃən]	menjanje
alternative	[ɔl'tɜ:nətɪv]	zamena, alternativa, izlaz
although	[ɔ:l'ðəu]	mada, pa ipak
altitude	['æltɪtju:d]	nadmorska visina
altogether	[ɔ:ltə'gəðə(r)]	skupa, potpuno
altruistic	[æltru'ɪstɪk]	nesebičan
aluminium	[ælju'mɪnɪəm]	aluminijum
aluminous	[əlu:mi:nu:z]	aluminijumski
always	['ɔ:lweɪz]	uvek
amass	[ə'mæs]	nagomilati
amateur	['æmətə(r)]	amater, nestručnjak
 


amateurish	['æmətərɪʃ]	amaterski, nestručan
amaze	[ə'meɪz]	zapanjiti, začuditi
amazement	[ə'meɪzmənt]	čuđenje, zaprepašćenje
amazing	[ə'meɪzɪŋ]	divan, izvanredan
ambassador	[æm'bæsədə(r)]	ambasador
ambidextrous	[æmbɪ'dəkstrəs]	jednako vičan obema rukama
ambience	['æmbɪəns]	okolina, ambijent
ambiguity	[æmbɪ'gjuɪti]	dvosmislenost, nejasnoća
ambiguous	[æm'bɪgjuəs]	nejasan, dvosmislen
ambition	[æm'bɪʃən]	ambicija, težnja
ambitious	[æm'bɪʃəs]	ambiciozan
ambulance	['æmbjuləns]	bolnička kola (hitna pomoć)
ambuscade	[æmbəskeɪd]	zaseda
ambush	['æmbuʃ]	zaseda
ameliorate	[ə'mi:lɪəreɪt]	poboljšati
amelioration	[]	poboljšanje
amend	[ə'mənd]	popraviti
amendment	[ə'məndmənt]	ispravka, poboljšanje, amandman
amends	[əmendz]	naknada, odšteta
amenity	[ə'mi:nɪti]	pogodnost
amiable	['eɪmɪəbl]	ljubazan, srdačan
amicable	['æmɪkəbl]	prijateljski, dobrodušan
amid	[əmɪd]	usred
amidst	[əmɪdst]	usred
amiss	[ə'mɪs]	loč, pogrešan
amity	[æmɪti:]	prijateljstvo, dobri odnosi
amnesty	['æmnɪsti]	pomilovanje, amnestija
amoeba	[ə'mi:bə]	ameba (jednoćelijsko biće)
among	[əmʌŋ]	među (više njih)
amoral	[æ'mɔrəl]	nemoralan
amorphous	[əmɔ:(r)fəs]	bezobličan
amount	[ə'maunt]	iznos, količina
amphibian	[æm'fɪbɪən]	vodozemac
ample	['æmpl]	obilan, prostran
amplification	[æmpləfɪkeɪʃən]	pojačavanje
amplifier	['æmplɪfaɪə(r)]	pojačivač (zvuka)
amplify	['æmplɪfaɪ]	pojačati (elektronika)
amputate	['æmpjuteɪt]	odseći (nogu, ruku), amputirati
amputation	[æmpju'teɪʃən]	amputacija
amulet	[æmjəlɪt]	amajlija
amuse	[ə'mju:z]	zabaviti, razveseliti
amusement	[ə'mju:zmənt]	zabava
 


amusing	[ə'mju:zɪŋ]	zabavan
anaemia	[ə'ni:mɪə]	anemija, malokrvnost
anaemic	[ə'ni:mɪk]	malokrvan
anaesthetic	[ænɪs'θətɪk]	anestetik
anaesthetize	[ənesθetaɪz]	anestezirati
analogy	[ə'nælədʒi]	podudarnost, sličnost
analphabetic	[ænælfəbetɪk]	nepismen
analyse	['ænəlaɪz]	analizirati
analysis	[ə'næləsɪs]	analiza
analyst	['ænəlɪst]	analitičar
ananas	[ə'nɑ:nəs]	ananas
anarchism	[ænɜ:(r)kɪzəm]	bezvlašće
anarchy	['ænəki]	anarhija, bezvlašće
anatomical	[ænə'tɔmɪkl]	anatomski
anatomy	[ə'nætəmi]	anatomija
ancestor	['ænsɪstə(r)]	predak
ancestry	['ænsɪstri]	preci
anchor	['æŋkə(r)]	sidro
ancient	['eɪnʃənt]	davni, prastari
and	[ænd]	i, pa
anecdote	['ænɪkdəut]	doživljaj, anegdota
anew	[ə'nju:]	iznova
angel	['eɪndʒəl]	anđeo
anger	['æŋgə(r)]	ljutnja, gnev
angle	['æŋgl]	ugao, udica, pecati
angler	['æŋglə(r)]	pecaroš
angry	['æŋgri]	ljut, besan
anguish	['æŋgwɪʃ]	teskoba, strepnja
animal	['ænɪməl]	životinja
animate	[adj 'ænɪmɪt; verb'ænɪmeɪt]	oživeti, potaknuti
animation	[ænəmeɪʃən]	oživljavanje
animator	[ænəmeɪtə(r)]	animator
animosity	[ænɪ'mɔsɪti]	neprijateljstvo, odbojnost
ankle	['æŋkl]	gležanj (zglob do stopala)
annals	[ænəlz]	letopis, anali
annex	[noun 'ænəks; verb ə'nəks]	pripojiti
annexation	[ænək'seɪʃən]	pripajanje, aneksija
annihilate	[ə'naɪəleɪt]	poništiti, razoriti
annihilation	[ənaɪəleɪʃən]	uništenje
anniversary	[ænɪ'vɜ:səri]	godišnjica
annotation	[ænəƱteɪʃən]	beleška, objašnjenje
 


announce	[ə'nauns]	najaviti, obznaniti
